seed,noV,rhsMin,rhsMax,cMin,cMax,fMin,fMax,supplyNodes,demandNodes, totSupply, avgFC
6526,30,49,98,0,20,1516,4548,5,2,173.0,334.611996991
6527,62,548,1096,0,20,3441,10323,3,4,2308.0,711.499675763
6528,124,580,1160,0,20,11216,33648,6,2,1549.0,2495.0833964
6529,36,900,1800,0,20,15801,47403,3,3,3326.0,3350.39197555
6530,114,140,280,0,20,12816,38448,4,3,832.0,2621.47376128
6531,110,257,514,0,20,11301,33903,5,1,412.0,2537.28450157
6532,30,613,1226,0,20,14256,42768,4,1,1052.0,2869.8651957
6533,60,679,1358,0,20,17426,52278,4,2,2018.0,3493.90719155
6534,66,637,1274,0,20,14391,43173,5,2,1735.0,2655.84728794
6535,118,996,1992,0,20,14301,42903,4,4,5521.0,3105.02646375
6536,38,650,1300,0,20,4661,13983,3,2,2835.0,875.44991743
6537,108,350,700,0,20,18251,54753,7,4,1908.0,4046.94930913
6538,124,345,690,0,20,9346,28038,3,2,1426.0,1909.91112391
6539,98,457,914,0,20,19436,58308,6,1,3673.0,3748.75393387
6540,34,357,714,0,20,14871,44613,4,2,2048.0,3514.48846081
6541,50,486,972,0,20,9721,29163,3,2,1285.0,2079.6968236
6542,40,191,382,0,20,7401,22203,6,3,1387.0,1385.20801814
6543,106,704,1408,0,20,5376,16128,3,2,2346.0,1047.39558279
6544,76,246,492,0,20,18376,55128,2,3,828.0,4018.60149744
6545,116,50,100,0,20,18181,54543,3,3,240.0,3802.56040361
6546,78,359,718,0,20,1451,4353,3,1,1766.0,287.664420634
6547,60,729,1458,0,20,19226,57678,2,3,2512.0,4012.36241298
6548,110,955,1910,0,20,16276,48828,6,2,3348.0,2830.54544
6549,90,719,1438,0,20,8661,25983,4,4,3925.0,1652.07307191
6550,64,653,1306,0,20,6776,20328,3,4,2722.0,1203.21656506
6551,40,320,640,0,20,626,1878,3,2,1566.0,118.924741687
6552,130,704,1408,0,20,4446,13338,6,1,1072.0,839.995414042
6553,124,544,1088,0,20,14496,43488,4,2,1298.0,3172.86197028
6554,50,46,92,0,20,13381,40143,2,1,61.0,2562.73582119
6555,76,516,1032,0,20,9266,27798,8,1,906.0,1923.46333737
6556,124,521,1042,0,20,7611,22833,4,2,1668.0,1430.31566524
6557,116,300,600,0,20,18316,54948,2,2,556.0,3445.65845892
6558,34,522,1044,0,20,11436,34308,5,3,2454.0,2295.00138025
6559,38,76,152,0,20,5881,17643,1,1,126.0,1061.10988448
6560,78,621,1242,0,20,11261,33783,6,2,1451.0,1992.91754947
6561,36,540,1080,0,20,5306,15918,3,2,1415.0,942.693566443
6562,80,587,1174,0,20,8531,25593,5,2,1793.0,1567.80927769
6563,60,156,312,0,20,13531,40593,3,2,386.0,3178.99246668
6564,48,111,222,0,20,2786,8358,3,1,157.0,601.153933848
6565,46,700,1400,0,20,9326,27978,4,3,2770.0,1779.67732757
6566,40,359,718,0,20,111,333,3,1,391.0,18.4822258169
6567,112,233,466,0,20,5066,15198,4,2,757.0,1096.59769907
6568,60,95,190,0,20,3381,10143,3,3,399.0,718.425620492
6569,50,883,1766,0,20,9271,27813,6,4,4957.0,1772.25412173
6570,76,730,1460,0,20,10391,31173,4,2,4019.0,2326.34457487
6571,98,761,1522,0,20,2486,7458,8,2,2652.0,588.077042348
6572,98,56,112,0,20,491,1473,5,3,225.0,87.3579744234
6573,48,921,1842,0,20,1461,4383,6,3,3724.0,280.398884533
6574,50,952,1904,0,20,7916,23748,2,1,2824.0,1608.14194301
6575,114,826,1652,0,20,15531,46593,4,2,2306.0,2718.78524395
6576,88,973,1946,0,20,7911,23733,4,1,5657.0,1616.63444195
6577,28,92,184,0,20,6816,20448,5,1,674.0,1303.18049097
6578,74,893,1786,0,20,15196,45588,2,2,2573.0,2995.16629477
6579,58,227,454,0,20,12331,36993,5,2,642.0,2645.30205876
6580,100,828,1656,0,20,15886,47658,5,2,2577.0,3132.59696854
6581,128,61,122,0,20,17066,51198,8,3,242.0,3356.80194431
6582,94,682,1364,0,20,5431,16293,5,2,2008.0,965.402131273
6583,78,310,620,0,20,19551,58653,2,2,904.0,3739.79831073
6584,108,665,1330,0,20,18171,54513,3,3,2311.0,3415.24863104
6585,68,827,1654,0,20,19536,58608,3,2,3263.0,4368.65354742
6586,64,761,1522,0,20,921,2763,5,1,931.0,186.171779223
6587,84,621,1242,0,20,8911,26733,4,2,1924.0,1726.43450855
6588,50,250,500,0,20,16196,48588,4,2,1325.0,3373.24665797
6589,56,524,1048,0,20,8501,25503,3,2,2371.0,1541.03901769
6590,118,392,784,0,20,14306,42918,6,2,3872.0,2842.50741401
6591,120,52,104,0,20,11116,33348,3,3,167.0,2274.81838058
6592,40,532,1064,0,20,921,2763,5,1,927.0,162.360949477
6593,28,978,1956,0,20,11826,35478,6,1,1805.0,2615.45771211
6594,112,801,1602,0,20,15001,45003,3,2,3694.0,3613.46917255
6595,54,903,1806,0,20,7251,21753,4,2,2525.0,1435.90648822
6596,110,327,654,0,20,14471,43413,4,3,1875.0,3004.40227679
6597,28,447,894,0,20,3526,10578,9,1,802.0,698.357544669
6598,68,424,848,0,20,6226,18678,4,2,1115.0,1309.3529203
6599,106,44,88,0,20,5456,16368,2,3,155.0,1080.38886682
6600,132,435,870,0,20,10351,31053,2,2,1534.0,2018.28291819
6601,62,261,522,0,20,7366,22098,6,2,642.0,1496.32984546
6602,108,439,878,0,20,17066,51198,4,4,2064.0,2948.06646836
6603,96,966,1932,0,20,8671,26013,3,3,3029.0,1787.60934752
6604,34,446,892,0,20,586,1758,4,4,2866.0,143.129039918
6605,56,76,152,0,20,16641,49923,7,1,854.0,3177.27055781
6606,64,992,1984,0,20,1376,4128,4,2,2331.0,317.196818975
6607,100,788,1576,0,20,10146,30438,4,3,3086.0,1934.46051675
6608,62,876,1752,0,20,19781,59343,3,3,2871.0,3978.62661026
6609,100,51,102,0,20,6821,20463,6,3,197.0,1283.08762093
6610,116,802,1604,0,20,6636,19908,4,2,1526.0,1304.22024053
6611,32,110,220,0,20,4361,13083,5,3,515.0,789.194387869
6612,116,67,134,0,20,19276,57828,6,2,237.0,4047.0440299
6613,110,986,1972,0,20,3241,9723,4,2,5297.0,569.033353671
6614,118,413,826,0,20,8591,25773,1,2,679.0,1715.42783239
6615,120,295,590,0,20,16881,50643,3,1,1185.0,3317.35538087
6616,88,476,952,0,20,11851,35553,4,2,899.0,2386.81719654
6617,92,593,1186,0,20,6961,20883,4,3,3085.0,1534.84815231
6618,74,545,1090,0,20,17201,51603,6,2,1825.0,3020.83683105
6619,96,923,1846,0,20,16146,48438,2,2,2997.0,3172.0318206
6620,80,20,40,0,20,11171,33513,5,4,162.0,2226.26720306
6621,132,153,306,0,20,13216,39648,5,2,524.0,2495.04163795
6622,78,838,1676,0,20,16981,50943,1,1,880.0,3570.25551783
6623,24,968,1936,0,20,3091,9273,3,3,3191.0,731.138226826
6624,36,255,510,0,20,15381,46143,4,1,1419.0,2994.60609885
6625,64,1,2,0,20,11281,33843,3,1,4.0,2510.27200917
6626,78,82,164,0,20,12176,36528,4,1,479.0,2326.0505942
6627,114,166,332,0,20,10716,32148,6,3,574.0,2061.4912548
6628,90,571,1142,0,20,7871,23613,3,2,1350.0,1678.71155167
6629,98,67,134,0,20,6671,20013,5,2,501.0,1310.56181913
6630,48,424,848,0,20,14001,42003,2,2,1267.0,2822.28829901
6631,40,145,290,0,20,16071,48213,5,2,363.0,3380.92241967
6632,46,229,458,0,20,10156,30468,6,4,1101.0,2240.82760763
6633,60,928,1856,0,20,13531,40593,3,2,4725.0,2408.35564868
6634,40,541,1082,0,20,5206,15618,3,2,1440.0,1086.59727986
6635,74,577,1154,0,20,3856,11568,5,4,4555.0,961.754107613
6636,116,403,806,0,20,18376,55128,6,4,3156.0,3468.30111483
6637,82,90,180,0,20,3391,10173,5,2,661.0,689.730585788
6638,22,356,712,0,20,15676,47028,3,2,1029.0,2740.69225897
6639,80,43,86,0,20,14716,44148,2,4,158.0,3233.05801326
6640,68,20,40,0,20,1,3,3,2,38.0,0.207802164698
6641,34,70,140,0,20,13766,41298,3,2,204.0,2562.70677353
6642,36,837,1674,0,20,15471,46413,6,2,7835.0,2579.6139619
6643,46,119,238,0,20,1756,5268,4,2,399.0,339.967269473
6644,70,390,780,0,20,11731,35193,2,2,988.0,2115.84292508
6645,34,794,1588,0,20,2651,7953,3,3,3439.0,509.0647977
6646,80,29,58,0,20,2266,6798,2,2,58.0,438.362236337
6647,24,670,1340,0,20,3136,9408,2,3,2405.0,818.197110416
6648,26,842,1684,0,20,6966,20898,4,2,6026.0,1395.14657394
6649,36,571,1142,0,20,2526,7578,3,2,1357.0,393.101917616
6650,102,867,1734,0,20,551,1653,3,2,1676.0,103.757864684
6651,84,73,146,0,20,16456,49368,4,2,189.0,3229.09892403
6652,118,71,142,0,20,3566,10698,4,2,209.0,702.479700658
6653,50,497,994,0,20,7796,23388,2,1,1297.0,1652.59344713
6654,64,732,1464,0,20,741,2223,4,4,3877.0,155.213433287
6655,94,865,1730,0,20,14341,43023,5,2,2098.0,2670.49786294
6656,100,349,698,0,20,13381,40143,5,1,581.0,2670.42938625
6657,100,22,44,0,20,14771,44313,5,1,159.0,2864.85974643
6658,68,360,720,0,20,9596,28788,3,1,639.0,1819.2684278
6659,132,183,366,0,20,15321,45963,5,1,341.0,2826.43141664
6660,48,939,1878,0,20,1796,5388,5,2,1976.0,389.824335844
6661,62,181,362,0,20,6541,19623,3,1,274.0,1375.09443927
6662,118,604,1208,0,20,12226,36678,3,3,2328.0,2329.00608015
6663,116,994,1988,0,20,16906,50718,3,4,4653.0,3127.12587269
6664,28,298,596,0,20,16491,49473,6,2,760.0,3276.25191704
6665,52,721,1442,0,20,15626,46878,4,1,4396.0,3403.34251997
6666,70,223,446,0,20,4981,14943,3,2,1257.0,1006.92289152
6667,48,938,1876,0,20,611,1833,1,2,1864.0,120.276229741
6668,30,869,1738,0,20,5071,15213,4,2,5118.0,968.340918099
6669,48,970,1940,0,20,18516,55548,4,5,5426.0,4055.37396401
6670,100,373,746,0,20,19591,58773,5,2,1183.0,4017.49909306
6671,50,900,1800,0,20,6416,19248,5,2,7030.0,1254.96131594
6672,64,316,632,0,20,13071,39213,4,3,2286.0,2573.00888266
6673,124,255,510,0,20,12176,36528,5,2,772.0,2703.2532507
6674,106,855,1710,0,20,14771,44313,2,1,1188.0,3080.02190396
6675,86,243,486,0,20,5266,15798,4,2,1422.0,1007.41022117
6676,48,726,1452,0,20,13711,41133,1,2,1134.0,3387.41113986
6677,118,898,1796,0,20,4111,12333,5,4,7645.0,864.403965187
6678,30,42,84,0,20,9971,29913,6,2,124.0,1760.07550673
6679,40,125,250,0,20,6896,20688,3,3,519.0,1319.21161056
6680,106,367,734,0,20,9336,28008,5,3,1635.0,1882.9759322
6681,24,266,532,0,20,12476,37428,3,1,473.0,2655.95984064
6682,124,900,1800,0,20,1721,5163,4,2,2764.0,343.14476716
6683,40,352,704,0,20,14486,43458,2,2,742.0,2907.30069853
6684,116,80,160,0,20,6936,20808,5,2,125.0,1401.11027459
6685,62,298,596,0,20,7586,22758,3,3,879.0,1444.72134546
6686,88,973,1946,0,20,4481,13443,5,3,8607.0,811.245541207
6687,108,345,690,0,20,7261,21783,4,3,2280.0,1676.54344802
6688,58,948,1896,0,20,14256,42768,4,2,5509.0,2632.75267342
6689,116,554,1108,0,20,10116,30348,3,3,2198.0,2160.58167235
6690,50,528,1056,0,20,18746,56238,4,1,3185.0,3563.207343
6691,42,895,1790,0,20,11991,35973,2,3,3048.0,2758.87217919
6692,122,366,732,0,20,566,1698,2,3,1249.0,122.708411431
6693,132,356,712,0,20,8666,25998,5,3,1435.0,1708.69220557
6694,112,164,328,0,20,3416,10248,3,1,320.0,705.738664419
6695,68,604,1208,0,20,17771,53313,2,2,1328.0,3483.85491916
6696,80,462,924,0,20,17036,51108,2,2,963.0,3306.98972881
6697,86,228,456,0,20,18586,55758,5,3,1533.0,3747.68789975
6698,118,989,1978,0,20,19676,59028,2,2,2927.0,3960.35879969
6699,50,361,722,0,20,14726,44178,5,1,642.0,2787.20431063
6700,104,641,1282,0,20,19546,58638,3,1,867.0,3397.9028537
6701,128,104,208,0,20,8676,26028,3,4,569.0,1665.81793371
6702,106,688,1376,0,20,4356,13068,3,2,3046.0,847.285288499
6703,84,843,1686,0,20,4076,12228,4,2,1995.0,770.720657902
6704,54,628,1256,0,20,19556,58668,3,2,1488.0,4217.17540509
6705,104,696,1392,0,20,9521,28563,2,3,2376.0,1825.16115726
6706,44,167,334,0,20,12251,36753,6,3,647.0,2543.62054168
6707,100,210,420,0,20,10616,31848,6,1,403.0,2223.59601524
6708,60,583,1166,0,20,19941,59823,4,2,1776.0,3854.31008708
6709,50,800,1600,0,20,18396,55188,2,2,2074.0,3632.16161726
6710,98,764,1528,0,20,12536,37608,7,3,3299.0,2721.80237631
6711,34,480,960,0,20,12556,37668,5,1,931.0,2875.27334464
6712,40,366,732,0,20,156,468,4,3,1438.0,26.0585254132
6713,48,46,92,0,20,17306,51918,3,3,230.0,3545.74007285
6714,132,31,62,0,20,1021,3063,7,1,44.0,206.428039344
6715,40,401,802,0,20,11556,34668,4,2,879.0,2117.92614418
6716,26,444,888,0,20,14861,44583,3,3,1681.0,3265.07549478
6717,122,139,278,0,20,10486,31458,4,1,182.0,2024.40819105
6718,88,429,858,0,20,1016,3048,2,3,1524.0,248.970947909
6719,132,28,56,0,20,11496,34488,5,2,191.0,2437.10460652
6720,28,879,1758,0,20,7641,22923,3,2,4329.0,1403.31312403
6721,116,696,1392,0,20,15141,45423,5,4,3381.0,2643.32946511
6722,80,521,1042,0,20,13941,41823,6,1,966.0,2835.90322057
6723,122,703,1406,0,20,14191,42573,4,1,1205.0,2724.16955539
6724,112,871,1742,0,20,11476,34428,2,1,1255.0,2187.53705346
6725,114,810,1620,0,20,14196,42588,4,1,1311.0,2797.94852395
6726,118,315,630,0,20,12296,36888,3,2,1256.0,2234.6778957
6727,70,250,500,0,20,5701,17103,3,2,671.0,1223.16488632
6728,44,274,548,0,20,926,2778,3,2,504.0,196.806927346
6729,126,279,558,0,20,3986,11958,3,1,1329.0,816.915787387
6730,98,729,1458,0,20,8031,24093,4,4,3932.0,1804.76873283
6731,132,364,728,0,20,6751,20253,4,4,1981.0,1309.12207448
6732,104,260,520,0,20,16641,49923,4,2,581.0,3115.65479596
6733,102,286,572,0,20,3156,9468,7,1,3299.0,641.596785776
6734,50,37,74,0,20,376,1128,4,2,112.0,80.0625722018
6735,88,336,672,0,20,14016,42048,4,3,1956.0,3051.11057956
6736,24,963,1926,0,20,1221,3663,4,4,5610.0,219.923780268
6737,58,744,1488,0,20,15121,45363,5,2,5294.0,3943.94001194
6738,110,617,1234,0,20,8751,26253,6,1,709.0,1689.4358459
6739,96,672,1344,0,20,11026,33078,2,2,1883.0,2117.21073888
6740,38,645,1290,0,20,4956,14868,2,2,1490.0,1017.9269253
6741,106,341,682,0,20,3406,10218,5,3,1151.0,688.688993449
6742,32,818,1636,0,20,706,2118,4,4,4045.0,107.091768113
6743,58,803,1606,0,20,10361,31083,3,2,2258.0,2073.88234123
6744,70,617,1234,0,20,12116,36348,3,1,2566.0,2440.76500955
6745,52,274,548,0,20,66,198,6,1,531.0,12.900139133
6746,86,888,1776,0,20,11931,35793,4,4,4274.0,2273.95167275
6747,74,666,1332,0,20,10731,32193,4,3,3692.0,2308.2114071
6748,74,575,1150,0,20,11656,34968,5,4,4609.0,2179.65483606
6749,130,136,272,0,20,8151,24453,4,4,876.0,1572.40907831
6750,52,43,86,0,20,4371,13113,3,2,187.0,845.246243903
6751,116,79,158,0,20,816,2448,5,3,630.0,165.001504491
6752,130,355,710,0,20,13781,41343,3,3,1750.0,2773.81654818
6753,46,787,1574,0,20,1451,4353,4,2,1667.0,282.172909542
6754,130,663,1326,0,20,5216,15648,5,3,5463.0,1027.6316422
6755,98,75,150,0,20,8691,26073,6,3,332.0,1752.21105019
6756,24,517,1034,0,20,4191,12573,5,1,866.0,823.714212185
6757,26,209,418,0,20,1331,3993,3,3,789.0,242.276764257
6758,70,72,144,0,20,12986,38958,3,2,327.0,2869.19724524
6759,42,470,940,0,20,19881,59643,4,2,1003.0,4442.18811039
6760,26,184,368,0,20,12501,37503,3,2,450.0,2516.61956502
6761,70,686,1372,0,20,10946,32838,6,1,1319.0,2075.19782567
6762,128,352,704,0,20,9851,29553,3,2,909.0,1892.64124225
6763,76,207,414,0,20,14736,44208,3,2,627.0,3127.71148624
6764,44,236,472,0,20,13136,39408,3,2,663.0,2437.30884705
6765,108,829,1658,0,20,16301,48903,5,2,2370.0,2974.10411162
6766,54,828,1656,0,20,13851,41553,4,2,2116.0,2828.34955358
6767,120,677,1354,0,20,11446,34338,4,4,3862.0,2227.60270107
6768,32,410,820,0,20,11276,33828,2,3,1282.0,3075.0682738
6769,72,988,1976,0,20,5716,17148,3,3,4963.0,1144.40842886
6770,32,986,1972,0,20,13076,39228,4,3,4506.0,2885.60763195
6771,72,466,932,0,20,10206,30618,4,2,1422.0,2193.18746575
6772,126,297,594,0,20,501,1503,5,3,1085.0,93.5751437904
6773,58,732,1464,0,20,12491,37473,4,4,3910.0,3033.70439846
6774,38,439,878,0,20,1911,5733,5,2,3218.0,343.004005363
6775,30,385,770,0,20,15491,46473,6,2,1131.0,3234.10776854
6776,30,943,1886,0,20,12746,38238,3,3,4295.0,2681.96576016
6777,84,96,192,0,20,646,1938,3,1,174.0,141.719973862
6778,112,486,972,0,20,5946,17838,2,3,1583.0,1236.76198579
6779,116,16,32,0,20,13331,39993,3,2,40.0,2771.21037219
6780,100,8,16,0,20,4271,12813,5,4,61.0,843.181523494
6781,124,307,614,0,20,18731,56193,3,1,506.0,3481.98692005
6782,80,800,1600,0,20,6581,19743,4,2,2376.0,1264.69538642
6783,72,637,1274,0,20,15576,46728,4,1,3385.0,3062.27549505
6784,92,648,1296,0,20,11011,33033,5,1,1217.0,2264.22956796
6785,104,522,1044,0,20,8386,25158,4,4,3175.0,1561.8981973
6786,70,531,1062,0,20,9951,29853,4,2,2794.0,1987.53106339
6787,82,514,1028,0,20,8931,26793,6,3,2381.0,1920.70209582
6788,126,673,1346,0,20,16116,48348,3,1,933.0,3628.45393899
6789,42,136,272,0,20,2876,8628,5,2,433.0,558.569989731
6790,120,79,158,0,20,19031,57093,4,4,483.0,3615.01984101
6791,70,639,1278,0,20,6486,19458,3,4,3067.0,1253.287051
6792,120,219,438,0,20,8661,25983,5,3,1597.0,1650.10562397
6793,64,648,1296,0,20,9181,27543,5,2,4026.0,1532.62088652
6794,46,634,1268,0,20,5346,16038,2,1,1035.0,1180.49316169
6795,66,730,1460,0,20,7136,21408,2,2,2350.0,1562.46345947
6796,68,172,344,0,20,19511,58533,5,2,486.0,3779.59272374
6797,24,577,1154,0,20,10481,31443,2,3,2178.0,2393.66041075
6798,84,603,1206,0,20,986,2958,6,2,1758.0,195.602657715
6799,98,60,120,0,20,17846,53538,4,1,97.0,3563.30385073
6800,40,804,1608,0,20,8336,25008,3,2,2057.0,1493.88397127
6801,68,76,152,0,20,8116,24348,3,3,364.0,1755.79279152
6802,26,136,272,0,20,16476,49428,3,3,633.0,2504.53626549
6803,116,756,1512,0,20,4006,12018,2,2,1847.0,881.891873766
6804,126,67,134,0,20,6951,20853,7,1,104.0,1489.66193609
6805,22,344,688,0,20,8041,24123,5,3,1438.0,1641.21309284
6806,38,376,752,0,20,12616,37848,4,2,2453.0,2855.29101902
6807,52,926,1852,0,20,15931,47793,2,2,2922.0,3712.72922595
6808,94,221,442,0,20,3411,10233,2,1,377.0,715.46512906
6809,28,806,1612,0,20,3031,9093,5,1,1488.0,658.134001674
6810,52,74,148,0,20,18786,56358,5,2,174.0,3828.40975534
6811,38,148,296,0,20,826,2478,3,4,663.0,187.883237766
6812,116,542,1084,0,20,14511,43533,7,3,2009.0,2862.6240507
6813,116,979,1958,0,20,11431,34293,3,1,1851.0,2472.71073051
6814,118,718,1436,0,20,4686,14058,2,2,1688.0,876.965952851
6815,50,103,206,0,20,5831,17493,4,1,156.0,1273.770592
6816,100,230,460,0,20,14861,44583,3,3,742.0,2675.60138012
6817,46,733,1466,0,20,3836,11508,3,4,3307.0,674.173968361
6818,114,30,60,0,20,11596,34788,5,1,53.0,2518.25995736
6819,56,326,652,0,20,646,1938,5,3,1370.0,134.68065989
6820,52,554,1108,0,20,9201,27603,5,1,4857.0,2063.7729587
6821,30,932,1864,0,20,7746,23238,5,1,1278.0,1498.83551389
6822,86,153,306,0,20,10021,30063,4,2,905.0,2176.23738446
6823,128,912,1824,0,20,13296,39888,3,3,3492.0,2701.82459249
6824,64,886,1772,0,20,9091,27273,4,2,2018.0,1969.55503927
6825,86,969,1938,0,20,4251,12753,3,3,4940.0,856.202400359
6826,76,170,340,0,20,18986,56958,2,3,643.0,3743.61355767
6827,44,251,502,0,20,8921,26763,6,4,1574.0,1887.57294488
6828,40,354,708,0,20,8806,26418,2,2,963.0,2421.21252634
6829,64,699,1398,0,20,19956,59868,3,1,937.0,3600.42768529
6830,30,576,1152,0,20,2546,7638,2,1,1518.0,508.724542541
6831,126,606,1212,0,20,8506,25518,5,2,2046.0,1755.85685103
6832,70,880,1760,0,20,14476,43428,3,1,3796.0,2926.64386188
6833,44,275,550,0,20,10646,31938,4,1,1529.0,2103.95663267
6834,106,725,1450,0,20,12766,38298,3,1,862.0,2715.47120251
6835,84,150,300,0,20,3361,10083,4,3,458.0,617.815650829
6836,90,876,1752,0,20,6076,18228,5,2,2493.0,1193.83842802
6837,126,311,622,0,20,2021,6063,4,4,1528.0,405.696980434
6838,50,712,1424,0,20,5096,15288,4,3,2589.0,903.588780244
6839,112,900,1800,0,20,10016,30048,3,3,3214.0,2230.01096979
6840,66,652,1304,0,20,15336,46008,3,4,2781.0,2937.40783261
6841,34,973,1946,0,20,11671,35013,6,2,3011.0,2216.73637409
6842,62,72,144,0,20,12016,36048,4,2,217.0,2472.21531166
6843,80,607,1214,0,20,1881,5643,4,4,4127.0,386.899320213
6844,54,266,532,0,20,12906,38718,4,4,1423.0,2509.97922969
6845,106,234,468,0,20,14786,44358,4,1,416.0,2761.67021392
6846,78,953,1906,0,20,1766,5298,3,3,4518.0,355.797153114
6847,48,330,660,0,20,7896,23688,3,2,969.0,1446.35485693
6848,100,643,1286,0,20,31,93,3,1,2752.0,5.95830970082
6849,56,249,498,0,20,18186,54558,4,3,1434.0,3677.6494003
6850,84,651,1302,0,20,15881,47643,3,3,2586.0,3235.61737169
6851,120,388,776,0,20,7841,23523,6,1,573.0,1765.42116885
6852,44,388,776,0,20,6431,19293,4,3,1873.0,1312.88348639
6853,116,458,916,0,20,11836,35508,3,2,1150.0,2358.3744812
6854,132,407,814,0,20,10041,30123,4,2,2546.0,1914.82530886
6855,108,113,226,0,20,5066,15198,4,2,760.0,1118.69618341
6856,74,253,506,0,20,12606,37818,5,3,1086.0,2409.78639436
6857,96,81,162,0,20,16931,50793,3,2,243.0,3393.9947159
6858,64,964,1928,0,20,2981,8943,2,1,1361.0,603.251940178
6859,56,554,1108,0,20,10521,31563,4,2,2008.0,2297.75133764
6860,46,121,242,0,20,7216,21648,3,2,193.0,1718.03618155
6861,132,872,1744,0,20,8491,25473,2,2,2631.0,1921.38371994
6862,34,530,1060,0,20,4511,13533,4,3,3167.0,908.006802569
6863,96,613,1226,0,20,1181,3543,2,1,949.0,215.595819008
6864,64,92,184,0,20,16441,49323,2,3,239.0,2937.18785948
6865,122,343,686,0,20,19626,58878,4,4,2183.0,3928.16433721
6866,92,450,900,0,20,1731,5193,3,1,1921.0,351.82419949
6867,82,908,1816,0,20,7796,23388,3,3,3358.0,1388.72331249
6868,62,901,1802,0,20,15841,47523,5,2,2922.0,3534.57976234
6869,104,264,528,0,20,13561,40683,5,3,1147.0,2749.31101703
6870,42,888,1776,0,20,11081,33243,4,2,6235.0,2172.19789727
6871,80,637,1274,0,20,7231,21693,7,1,1056.0,1501.17754928
6872,30,175,350,0,20,18606,55818,3,2,887.0,3832.53096344
6873,24,411,822,0,20,18426,55278,3,3,1674.0,3227.56148634
6874,34,400,800,0,20,3646,10938,3,2,2007.0,640.856570168
6875,80,202,404,0,20,18081,54243,6,1,349.0,3549.01592694
6876,82,400,800,0,20,15921,47763,4,3,1455.0,3499.13693708
6877,94,557,1114,0,20,7286,21858,2,3,2063.0,1448.67810811
6878,102,345,690,0,20,17586,52758,3,2,920.0,3304.26772464
6879,68,788,1576,0,20,10421,31263,6,2,6927.0,2014.13163222
6880,24,645,1290,0,20,19731,59193,6,1,6510.0,3621.27667764
6881,98,650,1300,0,20,2236,6708,2,4,2467.0,451.136230512
6882,94,147,294,0,20,18096,54288,4,4,887.0,3817.17945959
6883,96,402,804,0,20,11791,35373,7,2,1229.0,2514.38575958
6884,58,427,854,0,20,13126,39378,2,1,1311.0,2663.8475204
6885,62,153,306,0,20,18591,55773,3,3,742.0,3857.28745098
6886,118,829,1658,0,20,12431,37293,7,2,2307.0,2135.93730491
6887,54,404,808,0,20,19146,57438,3,1,706.0,3815.05126933
6888,30,498,996,0,20,14751,44253,3,3,1748.0,2460.17626834
6889,74,552,1104,0,20,10441,31323,2,3,1678.0,2211.16146191
6890,54,697,1394,0,20,5356,16068,5,3,2388.0,966.930776565
6891,62,88,176,0,20,14206,42618,5,4,723.0,2734.52550864
6892,122,796,1592,0,20,16816,50448,3,3,2752.0,3140.75944873
6893,112,332,664,0,20,221,663,6,3,1439.0,41.0591380444
6894,22,232,464,0,20,6551,19653,3,4,1122.0,1337.65325479
6895,110,146,292,0,20,9616,28848,2,2,537.0,2129.06596884
6896,116,364,728,0,20,5776,17328,5,3,2867.0,1240.53725732
6897,34,183,366,0,20,1271,3813,5,3,818.0,270.742431367
6898,36,189,378,0,20,546,1638,5,2,588.0,89.8924183279
6899,56,45,90,0,20,3966,11898,2,2,126.0,711.926925608
6900,44,363,726,0,20,5971,17913,2,1,1145.0,1143.6967206
6901,82,220,440,0,20,18161,54483,6,2,1979.0,3816.54158423
6902,88,177,354,0,20,1021,3063,2,3,582.0,197.712313214
6903,94,637,1274,0,20,5556,16668,6,3,5836.0,1082.58915899
6904,118,109,218,0,20,11876,35628,3,3,405.0,2249.80444969
6905,130,798,1596,0,20,4566,13698,4,3,3031.0,887.393478971
6906,120,657,1314,0,20,7681,23043,4,3,3929.0,1421.66066411
6907,82,920,1840,0,20,3481,10443,4,3,3734.0,698.23952527
6908,70,951,1902,0,20,5671,17013,3,1,1564.0,1086.40174353
6909,74,805,1610,0,20,3401,10203,6,1,1255.0,624.367700654
6910,34,591,1182,0,20,11096,33288,4,5,3318.0,2145.15525751
6911,86,410,820,0,20,17726,53178,5,5,3525.0,3117.92068349
6912,26,981,1962,0,20,6171,18513,4,2,2386.0,1459.98995374
6913,116,833,1666,0,20,19276,57828,4,2,1831.0,4111.4487895
6914,100,499,998,0,20,9131,27393,4,4,3010.0,1622.93219397
6915,132,43,86,0,20,6121,18363,5,2,138.0,1172.09645843
6916,80,392,784,0,20,9296,27888,4,4,1880.0,1786.75185278
6917,128,254,508,0,20,12146,36438,5,4,1555.0,2407.62835563
6918,52,716,1432,0,20,17426,52278,3,2,1999.0,3342.2589599
6919,106,544,1088,0,20,1221,3663,4,3,3656.0,263.556541042
6920,70,709,1418,0,20,18001,54003,2,1,1374.0,3379.9716838
6921,102,536,1072,0,20,6831,20493,5,2,1740.0,1405.68616102
6922,104,900,1800,0,20,17381,52143,5,3,3712.0,3501.6911089
6923,82,972,1944,0,20,11786,35358,2,1,1408.0,2298.4735583
6924,122,815,1630,0,20,17861,53583,3,3,3763.0,3869.01546476
6925,38,849,1698,0,20,15536,46608,7,3,3537.0,3171.10442948
